ID,Software,CWE,Score,Severity,CVE_URL,WRITEUP_URL,EXPLOIT_URL
CVE-2025-8783,Contact Manager,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8783,,
CVE-2025-8013,Quttera Web Malware Scanner,CWE-918 Server-Side Request Forgery (SSRF),3.8,Low,https://www.cve.org/CVERecord?id=CVE-2025-8013,,
CVE-2025-8080,Alobaidi Captcha,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8080,,
CVE-2025-8491,Easy restaurant menu manager,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8491,,
CVE-2025-8767,AnWP Football Leagues,CWE-1236 Improper Neutralization of Formula Elements in a CSV File,4.8,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8767,,
CVE-2025-6781,Copymatic – AI Content Writer & Generator,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6781,,
CVE-2025-6832,All in One Time Clock Lite,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",6.1,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6832,,
CVE-2025-6626,ShortPixel Adaptive Images,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6626,,
CVE-2025-8213,NinjaScanner – Virus & Malware scan,CWE-36 Absolute Path Traversal,7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-8213,,
CVE-2025-8009,Security Ninja – Secure Firewall & Secure Malware Scanner,CWE-36 Absolute Path Traversal,4.9,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8009,,
CVE-2025-6851,Broken Link Notifier,CWE-918 Server-Side Request Forgery (SSRF),7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-6851,,
